"","control1","control2","control3","benz1","benz2","benz3","chlorhex1","chlorhex2","chlorhex3","perox1","perox2","perox3","tric1","tric2","tric3"
"1759130_s_at",8.6574629275835,9.09952549424308,8.87290422725629,8.73099192850892,8.75112044579967,8.54964316793277,8.73099192850892,8.58183883958063,8.29789823363746,8.85054714705245,8.73099192850892,8.73099192850892,8.94169502015793,8.75007212774504,8.53796421684211
"1759131_s_at",6.43786671662219,6.61816804660784,6.43719017723275,6.18068004206431,6.13195966841728,6.15577415442058,6.21038809679089,6.02050868745172,6.08038594081864,6.41654963934096,6.17973768928072,6.12793614169334,6.49384599861594,6.15780673546996,6.13073674393871
"1759132_at",7.0637788559766,8.48894733258367,7.41850548470891,6.99744999896721,7.43754995886961,7.3728818669953,7.07849487986426,7.17889299221947,7.17705451907263,7.28322925468873,7.59304129927913,7.09379963731801,8.89500128294311,7.23848423465704,7.11102190795088
"1759133_s_at",6.36389538261359,6.86738444445303,6.45243982493315,6.3201560471022,6.5334401331567,6.50448291309782,6.44540664607626,6.45243982493315,6.34198905092599,6.55568738591051,6.55513293669584,6.42125243521688,6.50621251664577,6.45413154452971,6.2273735998236
"1759134_s_at",11.5728050709897,11.9795903034806,12.0916542706958,11.6565016724402,11.6128983825979,11.9451904215248,11.8891789953938,12.1125825868791,11.9948467986258,12.4097227106907,12.567597153841,12.3929885452922,12.4541267406209,12.8504464405822,11.8633415216526
"1759135_s_at",5.66459507555061,5.70194240876831,5.59609004450891,5.53505279330209,5.59543562104665,5.55517324061748,5.56809798790867,5.73556936669021,5.59609004450891,5.59609004450891,5.65984603514687,5.59098081320563,5.77372968085788,5.68159826594789,5.55777864736628
"1759136_s_at",11.2241522398728,10.9395639251412,11.296635105989,11.0737120473183,11.0346903215587,11.2776103315201,11.1179432441529,11.1302219572719,10.883473263261,11.5489777279335,11.6133824235852,11.3617477842255,10.8454295364055,11.6474264147228,11.0323657997861
"1759137_s_at",6.37560029092436,6.46098906224733,6.53345158413587,6.24106972924844,6.57906682763566,6.31961792240299,6.30101312112158,6.25804141915576,6.32192893968652,6.7310987925749,6.41550347369311,6.307384208096,6.88966930640258,6.37335939600283,6.40103480911608
"1759138_s_at",8.61631913793238,8.2912420727662,8.50053408743407,8.83307097120212,8.61180425069005,8.68333520325387,8.72792403070271,9.02072132377096,8.64005162762805,8.57573992873615,8.52039467846281,8.63274297301868,8.18494998930525,8.48644755498039,8.5603325515733
"1759139_s_at",5.9554539942272,6.02778915377323,6.08518787635509,5.72570559509817,5.80464274636703,5.94004405177035,5.88960953119987,5.85242650465529,6.06883757768832,5.94914605659315,5.90156301837475,5.86489101172043,6.0650706892325,5.79878060686079,5.90286817539064
"1759140_s_at",7.07667835070123,7.45821418882119,6.99559907252255,7.00549692369121,7.1896195262852,7.00722562753056,6.97685246943279,6.84736136967517,6.81145311540191,7.09317043989111,6.93961843790054,6.9140174363182,7.14629569481438,6.96298316572621,6.92642874058923
"1759141_x_at",7.14664696350221,7.08424979511058,7.0471767122933,7.50350373885904,6.96279378748086,7.2168056012293,7.25829571269749,7.78196378899484,7.67237964111875,7.00968829264584,6.94709740118522,7.47699533087155,6.89242813155246,7.15045162597206,7.19237906435718
"1759142_at",9.85570636419934,8.6627264714486,9.71476365459747,9.89123650025047,9.93065347143187,9.85033651842911,9.80059366461645,9.91594629377055,9.28957830922602,9.40561980981941,10.1676038106182,9.89935031631428,8.69881746330565,10.5344389043652,9.96186603502324
